state,positive_cases,total_tests,percentage_positive
MO,388856.0,3618339.0,10.746809516742351
MP,122.0,17551.0,0.6951170873454504
MS,213055.0,1340713.0,15.891171339429095
MT,81300.0,786808.0,10.332889345304064
NC,532830.0,6880495.0,7.744064925561315
ND,92202.0,1233181.0,7.476761318898037
NE,163781.0,1726330.0,9.487235928240835
NH,43242.0,1025226.0,4.217801733471449
NJ,521273.0,7747137.0,6.7285888967756735
NM,141186.0,1954680.0,7.222972558168089
NV,222594.0,2068519.0,10.761032410144649
NY,957412.0,25068473.0,3.8191875508332718
OH,690748.0,7694900.0,8.976698852486711
OK,287030.0,2649374.0,10.833880003351736
OR,112260.0,2632475.0,4.264427962278844
PA,631333.0,3885630.0,16.247892877088145
PR,75888.0,381860.0,19.873251977164404
RI,87949.0,1974498.0,4.454246091918047
SC,303475.0,3150834.0,9.63157690947857
SD,98720.0,371459.0,26.57628432747625
TN,580809.0,5618268.0,10.337865690992313
TX,1737447.0,13661613.0,12.717729597522634
UT,271940.0,2227885.0,12.20619556215873
VA,344345.0,4220943.0,8.158011136374029
VI,2010.0,35591.0,5.647495153269086
VT,7276.0,689597.0,1.0551089984440187
WA,240846.0,3798321.0,6.340854287986717
WI,516226.0,5308808.0,9.723953098322637
WV,84225.0,1495094.0,5.633425055548347
WY,44133.0,498063.0,8.860927232097145
AK,44581.0,1259845.0,3.538609908361743
AL,351804.0,1855192.0,18.963212432998848
AR,219246.0,2024496.0,10.829658344595396
AS,0.0,2140.0,0.0
AZ,507222.0,4961687.0,10.222773020547244
CA,2187221.0,32374471.0,6.756005372257666
CO,328408.0,4343409.0,7.561065513286913
CT,181967.0,4278915.0,4.2526434855565025
DC,28535.0,888992.0,3.2098151614412727
DE,56189.0,966871.0,5.811426757033772
FL,1270063.0,15443777.0,8.223784894070926
GA,552712.0,5281282.0,10.465489250526671
GU,7293.0,95669.0,7.623159017027459
HI,21538.0,803715.0,2.6798056525011975
IA,236798.0,1166051.0,20.307688085684074
ID,137010.0,538880.0,25.424955463182897
IL,948006.0,13103444.0,7.234784992403524
IN,500282.0,5585093.0,8.957451558998212
KS,216062.0,985813.0,21.91713844309215
KY,261492.0,3128180.0,8.359237639777763
LA,304485.0,4142108.0,7.350967188687499
MA,361079.0,10762822.0,3.354872913442218
MD,271061.0,5632401.0,4.812530215799621
ME,22909.0,1096473.0,2.0893355331139025
MI,523839.0,8064471.0,6.495639949601157
MN,411110.0,5288334.0,7.7739038419282895
MO,386095.0,3599869.0,10.725251391092288
MP,122.0,17551.0,0.6951170873454504
MS,210032.0,1337690.0,15.701096666641748
MT,80426.0,783495.0,10.265030408617797
NC,524279.0,6842669.0,7.661907948492029
ND,91831.0,1233204.0,7.446537636919763
NE,162849.0,1717483.0,9.481840577170196
NH,42697.0,1019799.0,4.1868054391110405
NJ,516043.0,7741907.0,6.665579940446198
NM,139875.0,1946285.0,7.186768638714268
NV,220124.0,2057266.0,10.699831718406855
NY,943990.0,24913524.0,3.789066532699268
OH,682570.0,7666450.0,8.903338572611835
OK,283781.0,2619690.0,10.832617599792343
OR,111227.0,2613558.0,4.255769338197201
PA,622349.0,3866452.0,16.09612637115371
PR,75790.0,381762.0,19.852683085273025
RI,86789.0,1961246.0,4.425197043104231
SC,300602.0,3133285.0,9.593828840976801
SD,98158.0,370159.0,26.517793704867366
TN,572589.0,5588933.0,10.24505035218708
TX,1715978.0,13591767.0,12.625128138232505
UT,269326.0,2214069.0,12.164300209252737
VA,340297.0,4191183.0,8.119354368444423
VI,1979.0,35184.0,5.6247157798999545
VT,7202.0,687387.0,1.0477358460372395
WA,238672.0,3768662.0,6.33306993304255
WI,513056.0,5283315.0,9.710872813754243
WV,82773.0,1483446.0,5.579778434806524
WY,43923.0,494391.0,8.884263669848359
AK,44406.0,1254397.0,3.540027598918046
AL,347897.0,1848117.0,18.824403433332414
AR,216528.0,2017146.0,10.73437420989854
AS,0.0,2140.0,0.0
AZ,504423.0,4934488.0,10.222397946858925
CA,2155976.0,32128516.0,6.710474894016269
CO,326668.0,4328896.0,7.546219636600187
CT,181200.0,4265232.0,4.248303492049202
DC,28342.0,885875.0,3.199322703541696
DE,55488.0,956366.0,5.801962846859884
FL,1258315.0,15407980.0,8.166644816517156
GA,546859.0,5248593.0,10.419154238097715
GU,7281.0,95313.0,7.639041893550723
HI,21463.0,800645.0,2.680713674599854
IA,236101.0,1164835.0,20.269050981469476
ID,136215.0,537536.0,25.34062834861293
IL,942362.0,13036658.0,7.228555048387402
IN,496306.0,5553545.0,8.936742207004714
KS,216062.0,985813.0,21.91713844309215
KY,258517.0,3124415.0,8.274092910192788
LA,300539.0,4108164.0,7.315652442307561
MA,356934.0,10713593.0,3.331599399006477
MD,269183.0,5611691.0,4.796825056832246
ME,22319.0,1091810.0,2.0442201481942828
MI,519876.0,8040836.0,6.465447125149673
MN,410138.0,5281864.0,7.765023862787834
MO,383616.0,3583787.0,10.704207588229993
MP,122.0,17551.0,0.6951170873454504
MS,208089.0,1335747.0,15.578474067319634
MT,79999.0,782018.0,10.229815681991974
NC,520716.0,6816028.0,7.639581292799853
ND,91559.0,1231724.0,7.433402288174948
NE,161974.0,1705602.0,9.496588301373944
NH,41670.0,1015480.0,4.10347815811242
NJ,511636.0,7705189.0,6.6401486063482675
NM,138659.0,1939081.0,7.150758529427084
NV,218377.0,2047364.0,10.666251824297
NY,932552.0,24753360.0,3.7673754189330255
OH,675044.0,7639834.0,8.835846433312557
OK,282587.0,2597259.0,10.880201011912943
OR,110545.0,2598391.0,4.254363565760504
PA,613804.0,3851895.0,15.935117649884017
PR,73658.0,379630.0,19.402576192608592
RI,85602.0,1948107.0,4.394111822399899
SC,298050.0,3117127.0,9.561689337649701
SD,97657.0,369269.0,26.446032567044618
TN,567792.0,5575180.0,10.184281045634402
TX,1683426.0,13516243.0,12.454836747164135
UT,266590.0,2203605.0,12.097903208605898
VA,336175.0,4168673.0,8.06431687014069
VI,1979.0,35184.0,5.6247157798999545
VT,7120.0,684977.0,1.039450959667259
WA,236719.0,3710779.0,6.379226572102516
WI,510137.0,5265766.0,9.687802306445064
WV,81436.0,1471430.0,5.534480063611589
